TweetPostedTime,TweetID,TweetBody,TweetRetweetFlag,TweetSource,TweetInReplyToStatusID,TweetInReplyToUserID,TweetInReplyToScreenName,TweetRetweetCount,TweetFavoritesCount,TweetHashtags,TweetPlaceID,TweetPlaceName,TweetPlaceFullName,TweetCountry,TweetPlaceBoundingBox,TweetPlaceAttributes,TweetPlaceContainedWithin,UserID,UserName,UserScreenName,UserLocation,UserDescription,UserLink,UserExpandedLink,UserFollowersCount,UserFriendsCount,UserListedCount,UserSignupDate,UserTweetCount,MacroIterationNumber,tweet.place
Wed Nov 09 16:43:34 +0000 2016,796392800350863360,"""Donald Trump is going to be our president. We owe him an open mind and the chance to lead."" -Hillary",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,54232,121431,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Wed Nov 09 16:42:06 +0000 2016,796392429112926208,"""I hope that he will be a successful president for all Americans."" -Hillary on Donald Trump",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,8970,28724,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Wed Nov 09 16:41:42 +0000 2016,796392332467851264,"""Last night I congratulated Donald Trump and offered to work with him on behalf of our country."" -Hillary",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,10417,36266,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Tue Nov 08 17:09:08 +0000 2016,796036845700141056,"Today, let's show the world that love will always trump hate. https://t.co/jfd3CXu1CS https://t.co/a7FXGtAfiG",False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,15614,31041,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Tue Nov 08 12:35:51 +0000 2016,795968073543127040,"RT @johnlegend: Donald Trump is unfit for the office of president. Fortunately, there's an exceptionally qualified candidate @HillaryClinto.",True,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,10434,0,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Tue Nov 08 06:04:26 +0000 2016,795869569709735936,"""It's not just my name or Donald Trump's name on the ballot-it's the kind of country we want."" -Hillary https://t.co/jfd3CXLD1s",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",795868808367968256,1339835893,HillaryClinton,1132,3324,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Tue Nov 08 04:08:46 +0000 2016,795840460778602496,"""If you believe that racism and sexism and bigotry have no place in our country...you need to vote."" https://t.co/nIOvu5x85c",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,4389,10434,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Tue Nov 08 02:00:15 +0000 2016,795808117925810176,"""If his closest advisors don't trust him to tweet, why would any of us trust him with the nuclear codes?"" -@POTUS on Trump",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",795808003912044544,1339835893,HillaryClinton,1851,3616,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Mon Nov 07 22:24:52 +0000 2016,795753915941695488,"Women can stop Trump.

Here's how: https://t.co/jfd3CXu1CS https://t.co/f28w22yOXq",False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,4918,9559,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Mon Nov 07 22:07:51 +0000 2016,795749635126161408,"""If your closest advisors don't trust you to tweet, how can we trust you with the nuclear codes?"" -@POTUS on Trump",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,14302,34920,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
